erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 1, erlang: 1000, general blocking: 0, BBP: 0, Total current utilization: 0.0104674, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 362061, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -99, Max XT for modulation 8QAM: -99, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :583728, conexiones exitosas con 8QAM :343358, conexiones exitosas con QPSK :72915, conexiones exitosas con BPSK :0
erlang index: 12, erlang: 12000, general blocking: 0, BBP: 0, Total current utilization: 0.0968761, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 3.5041e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -32.2706, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -32.2706, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :734543, conexiones exitosas con 8QAM :222624, conexiones exitosas con QPSK :42834, conexiones exitosas con BPSK :0
erlang index: 13, erlang: 13000, general blocking: 0, BBP: 0, Total current utilization: 0.105015, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 3.82403e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -32.2706, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :739285, conexiones exitosas con 8QAM :219025, conexiones exitosas con QPSK :41691, conexiones exitosas con BPSK :0
erlang index: 14, erlang: 14000, general blocking: 0, BBP: 0, Total current utilization: 0.112261, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 4.13784e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -32.2706, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :744663, conexiones exitosas con 8QAM :216343, conexiones exitosas con QPSK :38995, conexiones exitosas con BPSK :0
erlang index: 15, erlang: 15000, general blocking: 0, BBP: 0, Total current utilization: 0.119593, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 4.44433e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -32.2706, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :748580, conexiones exitosas con 8QAM :214088, conexiones exitosas con QPSK :37333, conexiones exitosas con BPSK :0
erlang index: 16, erlang: 16000, general blocking: 0, BBP: 0, Total current utilization: 0.127423, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 4.79745e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :750560, conexiones exitosas con 8QAM :213862, conexiones exitosas con QPSK :35579, conexiones exitosas con BPSK :0
erlang index: 17, erlang: 17000, general blocking: 0, BBP: 0, Total current utilization: 0.135298, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 5.30676e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :750793, conexiones exitosas con 8QAM :214694, conexiones exitosas con QPSK :34514, conexiones exitosas con BPSK :0
erlang index: 18, erlang: 18000, general blocking: 0, BBP: 0, Total current utilization: 0.142257, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 5.94279e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7982, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :755358, conexiones exitosas con 8QAM :211933, conexiones exitosas con QPSK :32710, conexiones exitosas con BPSK :0
erlang index: 19, erlang: 19000, general blocking: 0, BBP: 0, Total current utilization: 0.149066, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 6.4446e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7932, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :760221, conexiones exitosas con 8QAM :208969, conexiones exitosas con QPSK :30811, conexiones exitosas con BPSK :0
erlang index: 20, erlang: 20000, general blocking: 0, BBP: 0, Total current utilization: 0.157166, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 6.68685e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7932, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :762009, conexiones exitosas con 8QAM :208862, conexiones exitosas con QPSK :29130, conexiones exitosas con BPSK :0
erlang index: 21, erlang: 21000, general blocking: 0, BBP: 0, Total current utilization: 0.165632, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 7.15272e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7932, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :763302, conexiones exitosas con 8QAM :209740, conexiones exitosas con QPSK :26959, conexiones exitosas con BPSK :0
erlang index: 22, erlang: 22000, general blocking: 0, BBP: 0, Total current utilization: 0.173705, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 7.58868e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7932, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :763584, conexiones exitosas con 8QAM :210433, conexiones exitosas con QPSK :25984, conexiones exitosas con BPSK :0
erlang index: 23, erlang: 23000, general blocking: 0, BBP: 0, Total current utilization: 0.180955, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 8.00349e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7932, Max XT for modulation QPSK: -31.47, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :765993, conexiones exitosas con 8QAM :209601, conexiones exitosas con QPSK :24407, conexiones exitosas con BPSK :0
erlang index: 24, erlang: 24000, general blocking: 0, BBP: 0, Total current utilization: 0.187876, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 8.26735e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -27.8786, Max XT for modulation 8QAM: -25.3906, Max XT for modulation QPSK: -25.3914, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :769182, conexiones exitosas con 8QAM :208266, conexiones exitosas con QPSK :22553, conexiones exitosas con BPSK :0
erlang index: 25, erlang: 25000, general blocking: 0, BBP: 0, Total current utilization: 0.196004, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 8.41349e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation QPSK: -23.9299, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :769807, conexiones exitosas con 8QAM :208237, conexiones exitosas con QPSK :21957, conexiones exitosas con BPSK :0
erlang index: 26, erlang: 26000, general blocking: 0, BBP: 0, Total current utilization: 0.203283, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 9.12272e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation QPSK: -23.9299, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :771715, conexiones exitosas con 8QAM :208014, conexiones exitosas con QPSK :20272, conexiones exitosas con BPSK :0
erlang index: 27, erlang: 27000, general blocking: 0, BBP: 0, Total current utilization: 0.210638, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 9.4248e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation QPSK: -23.9299, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :772577, conexiones exitosas con 8QAM :207883, conexiones exitosas con QPSK :19541, conexiones exitosas con BPSK :0
erlang index: 28, erlang: 28000, general blocking: 0, BBP: 0, Total current utilization: 0.217838, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 9.78404e+06, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation QPSK: -23.9299, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :773112, conexiones exitosas con 8QAM :206980, conexiones exitosas con QPSK :19909, conexiones exitosas con BPSK :0
erlang index: 29, erlang: 29000, general blocking: 0, BBP: 0, Total current utilization: 0.225625, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.10515e+07, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation QPSK: -23.3996, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :774044, conexiones exitosas con 8QAM :207098, conexiones exitosas con QPSK :18859, conexiones exitosas con BPSK :0
erlang index: 30, erlang: 30000, general blocking: 0, BBP: 0, Total current utilization: 0.234403, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.12282e+07, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation QPSK: -23.3996, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :771987, conexiones exitosas con 8QAM :208265, conexiones exitosas con QPSK :19749, conexiones exitosas con BPSK :0
erlang index: 31, erlang: 31000, general blocking: 0, BBP: 0, Total current utilization: 0.24214, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.1735e+07, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation QPSK: -23.3996, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :772673, conexiones exitosas con 8QAM :207623, conexiones exitosas con QPSK :19705, conexiones exitosas con BPSK :0
erlang index: 32, erlang: 32000, general blocking: 0, BBP: 0, Total current utilization: 0.249989, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.2235e+07, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation QPSK: -23.3996, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :770937, conexiones exitosas con 8QAM :207728, conexiones exitosas con QPSK :21336, conexiones exitosas con BPSK :0
erlang index: 33, erlang: 33000, general blocking: 0, BBP: 0, Total current utilization: 0.258326, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.25652e+07, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation QPSK: -23.3996, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :770440, conexiones exitosas con 8QAM :206502, conexiones exitosas con QPSK :23059, conexiones exitosas con BPSK :0
erlang index: 34, erlang: 34000, general blocking: 0, BBP: 0, Total current utilization: 0.265744, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.34397e+07, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation QPSK: -23.3996, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :768535, conexiones exitosas con 8QAM :207735, conexiones exitosas con QPSK :23731, conexiones exitosas con BPSK :0
erlang index: 35, erlang: 35000, general blocking: 0, BBP: 0, Total current utilization: 0.274162, Blocked by XT: 0, Ruta mas larga: 1201, tiempo transcurrido: 1.32592e+07, conexiones exitosas: 1000001, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation QPSK: -23.3996, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :768203, conexiones exitosas con 8QAM :205924, conexiones exitosas con QPSK :25874, conexiones exitosas con BPSK :0
erlang index: 36, erlang: 36000, general blocking: 8.99999e-06, BBP: 2.8202e-05, Total current utilization: 0.280842, Blocked by XT: 2, Ruta mas larga: 1201, tiempo transcurrido: 1.43285e+07, conexiones exitosas: 999992, Max XT for modulation 16QAM: -25.2801, Max XT for modulation 8QAM: -23.3009, Max XT for modulation QPSK: -23.3009, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :768492, conexiones exitosas con 8QAM :204260, conexiones exitosas con QPSK :27240, conexiones exitosas con BPSK :0
erlang index: 37, erlang: 37000, general blocking: 0.000226, BBP: 0.000708185, Total current utilization: 0.291472, Blocked by XT: 94, Ruta mas larga: 1201, tiempo transcurrido: 1.48787e+07, conexiones exitosas: 999775, Max XT for modulation 16QAM: -25.1715, Max XT for modulation 8QAM: -23.3009, Max XT for modulation QPSK: -23.3009, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :766585, conexiones exitosas con 8QAM :204045, conexiones exitosas con QPSK :29145, conexiones exitosas con BPSK :0
erlang index: 38, erlang: 38000, general blocking: 0.000759999, BBP: 0.00238151, Total current utilization: 0.29807, Blocked by XT: 360, Ruta mas larga: 1201, tiempo transcurrido: 1.52137e+07, conexiones exitosas: 999241, Max XT for modulation 16QAM: -25.1715, Max XT for modulation 8QAM: -23.3009, Max XT for modulation QPSK: -23.11, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :765184, conexiones exitosas con 8QAM :204331, conexiones exitosas con QPSK :29726, conexiones exitosas con BPSK :0
erlang index: 39, erlang: 39000, general blocking: 0.001916, BBP: 0.0060039, Total current utilization: 0.304266, Blocked by XT: 817, Ruta mas larga: 1201, tiempo transcurrido: 1.53606e+07, conexiones exitosas: 998085, Max XT for modulation 16QAM: -25.0859, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -23.11, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :762589, conexiones exitosas con 8QAM :202683, conexiones exitosas con QPSK :32813, conexiones exitosas con BPSK :0
erlang index: 40, erlang: 40000, general blocking: 0.003462, BBP: 0.0108484, Total current utilization: 0.310186, Blocked by XT: 1363, Ruta mas larga: 1201, tiempo transcurrido: 1.59394e+07, conexiones exitosas: 996539, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :762809, conexiones exitosas con 8QAM :200841, conexiones exitosas con QPSK :32889, conexiones exitosas con BPSK :0
erlang index: 41, erlang: 41000, general blocking: 0.00512999, BBP: 0.0160752, Total current utilization: 0.315967, Blocked by XT: 1831, Ruta mas larga: 1201, tiempo transcurrido: 1.62056e+07, conexiones exitosas: 994871, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :759714, conexiones exitosas con 8QAM :201529, conexiones exitosas con QPSK :33628, conexiones exitosas con BPSK :0
erlang index: 42, erlang: 42000, general blocking: 0.00661799, BBP: 0.0207379, Total current utilization: 0.322165, Blocked by XT: 2193, Ruta mas larga: 1201, tiempo transcurrido: 1.66795e+07, conexiones exitosas: 993383, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :758221, conexiones exitosas con 8QAM :201075, conexiones exitosas con QPSK :34087, conexiones exitosas con BPSK :0
erlang index: 43, erlang: 43000, general blocking: 0.00848399, BBP: 0.0265851, Total current utilization: 0.328892, Blocked by XT: 2762, Ruta mas larga: 1201, tiempo transcurrido: 1.71801e+07, conexiones exitosas: 991517, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :756267, conexiones exitosas con 8QAM :199866, conexiones exitosas con QPSK :35384, conexiones exitosas con BPSK :0
erlang index: 44, erlang: 44000, general blocking: 0.010204, BBP: 0.0319749, Total current utilization: 0.3327, Blocked by XT: 3162, Ruta mas larga: 1263, tiempo transcurrido: 1.72885e+07, conexiones exitosas: 989797, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :752314, conexiones exitosas con 8QAM :199716, conexiones exitosas con QPSK :37767, conexiones exitosas con BPSK :0
erlang index: 45, erlang: 45000, general blocking: 0.013012, BBP: 0.0407739, Total current utilization: 0.336888, Blocked by XT: 3890, Ruta mas larga: 1263, tiempo transcurrido: 1.76922e+07, conexiones exitosas: 986989, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :752177, conexiones exitosas con 8QAM :197247, conexiones exitosas con QPSK :37565, conexiones exitosas con BPSK :0
erlang index: 46, erlang: 46000, general blocking: 0.015216, BBP: 0.0476803, Total current utilization: 0.341888, Blocked by XT: 3968, Ruta mas larga: 1263, tiempo transcurrido: 1.8162e+07, conexiones exitosas: 984785, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :748208, conexiones exitosas con 8QAM :197513, conexiones exitosas con QPSK :39064, conexiones exitosas con BPSK :0
erlang index: 47, erlang: 47000, general blocking: 0.018713, BBP: 0.0586383, Total current utilization: 0.34519, Blocked by XT: 4887, Ruta mas larga: 1263, tiempo transcurrido: 1.8443e+07, conexiones exitosas: 981288, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :745602, conexiones exitosas con 8QAM :195552, conexiones exitosas con QPSK :40134, conexiones exitosas con BPSK :0
erlang index: 48, erlang: 48000, general blocking: 0.020574, BBP: 0.0644699, Total current utilization: 0.34952, Blocked by XT: 4754, Ruta mas larga: 1263, tiempo transcurrido: 1.88761e+07, conexiones exitosas: 979427, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :745001, conexiones exitosas con 8QAM :195356, conexiones exitosas con QPSK :39070, conexiones exitosas con BPSK :0
erlang index: 49, erlang: 49000, general blocking: 0.023275, BBP: 0.0729336, Total current utilization: 0.352904, Blocked by XT: 5213, Ruta mas larga: 1263, tiempo transcurrido: 1.95307e+07, conexiones exitosas: 976726, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :741914, conexiones exitosas con 8QAM :193157, conexiones exitosas con QPSK :41655, conexiones exitosas con BPSK :0
erlang index: 50, erlang: 50000, general blocking: 0.02551, BBP: 0.0799371, Total current utilization: 0.35721, Blocked by XT: 5505, Ruta mas larga: 1263, tiempo transcurrido: 2.04622e+07, conexiones exitosas: 974491, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :738119, conexiones exitosas con 8QAM :193242, conexiones exitosas con QPSK :43130, conexiones exitosas con BPSK :0
erlang index: 51, erlang: 51000, general blocking: 0.028654, BBP: 0.0897891, Total current utilization: 0.361154, Blocked by XT: 5871, Ruta mas larga: 1263, tiempo transcurrido: 2.1254e+07, conexiones exitosas: 971347, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :735737, conexiones exitosas con 8QAM :191592, conexiones exitosas con QPSK :44018, conexiones exitosas con BPSK :0
erlang index: 52, erlang: 52000, general blocking: 0.030911, BBP: 0.0968615, Total current utilization: 0.366104, Blocked by XT: 5484, Ruta mas larga: 1263, tiempo transcurrido: 2.13336e+07, conexiones exitosas: 969090, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation QPSK: -22.974, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :734393, conexiones exitosas con 8QAM :191576, conexiones exitosas con QPSK :43121, conexiones exitosas con BPSK :0
erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 53, erlang: 53000, general blocking: 0.04739, BBP: 0.148499, Total current utilization: 0.399725, Blocked by XT: 1736, Ruta mas larga: 1325, tiempo transcurrido: 1.52645e+07, conexiones exitosas: 952611, Max XT for modulation 16QAM: -22.6229, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :47368, conexiones exitosas con 8QAM :860904, conexiones exitosas con QPSK :44339, conexiones exitosas con BPSK :0
erlang index: 54, erlang: 54000, general blocking: 0.048715, BBP: 0.152651, Total current utilization: 0.401061, Blocked by XT: 1723, Ruta mas larga: 1325, tiempo transcurrido: 1.6031e+07, conexiones exitosas: 951286, Max XT for modulation 16QAM: -22.6229, Max XT for modulation 8QAM: -25.0158, Max XT for modulation QPSK: -22.6229, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :48752, conexiones exitosas con 8QAM :857652, conexiones exitosas con QPSK :44882, conexiones exitosas con BPSK :0
